"filename", "language", "PHP", "XML", "YAML", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\es\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\es\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fa\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fa\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 24
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fa\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fr\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fr\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\fr\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\hr\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\hu\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\id\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\id\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\it\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\it\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 24
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\it\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ja\adminlte.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ja\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\la\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\la\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\nl\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pl\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pl\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pt-br\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pt-br\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\pt-pt\adminlte.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
